misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,80640,184,-17.656652154,1.4189385175704956,-0.0003134839796075539,20.48585467953235
40,157440,179,-13.862358996,1.4189385175704956,0.00020073473915545038,8.374030364770443
60,234240,178,-9.531089766000001,1.4189385175704956,0.00042932898104481866,4.151150636933744
80,311040,176,-4.685103668,1.4189385175704956,0.006539203612192068,2.7172146114520728
100,387840,176,-2.388218718,1.4189385175704956,0.008864779004943557,3.736967110820115
120,464640,179,1.002856242,1.4189385175704956,0.005900009709876031,3.929080823250115
140,541440,180,2.935543928,1.4189385175704956,0.006604911417525727,5.050071998778731
160,618240,181,5.28009759,1.4189385175704956,0.008490972010486075,4.600051856320351
180,695040,186,1.976742898,1.4189385175704956,0.0056563254103821235,6.843128486908972
200,771840,193,4.871878735999999,1.4189385175704956,0.007587163148127729,7.934872119873762
220,848640,201,4.185946392,1.4189385175704956,0.005432868792559021,11.243749066535383
240,925440,207,7.794438674000001,1.4189385175704956,0.00948056996166997,6.218391748704017
260,1002240,214,9.373765612,1.4189385175704956,0.015924079532851465,7.171675713267177
280,1079040,224,12.486433543999999,1.4189385175704956,0.008368123913533055,3.3210006615146996
300,1155840,233,11.510157424,1.4189385175704956,0.007359775875374908,5.775181132927537
320,1232640,241,13.332860714,1.4189385175704956,0.00739955223762081,5.0039417846128345
340,1309440,249,13.657178368,1.4189385175704956,0.009351678457460367,8.847191944532096
360,1386240,257,15.349755548,1.4189385175704956,0.0059640998690156264,7.255075267050415
380,1463040,264,17.177007996,1.4189385175704956,0.00719012716144789,7.416626846790313
400,1539840,271,15.484193199999998,1.4189385175704956,0.007062468181538861,9.203482531011105
420,1616640,277,16.260437918,1.4189385175704956,0.0036705564794829114,3.7728148838039486
440,1693440,283,17.324086206,1.4189385175704956,0.007172729328158311,5.210882523935288
460,1770240,289,18.505317517999995,1.4189385175704956,0.004752435649788822,12.202007092442363
480,1847040,294,18.896271416,1.4189385175704956,0.006767116626724601,7.270780837442726
500,1923840,299,21.821849426,1.4189385175704956,0.011784476597858884,4.787284903228283
520,2000640,304,22.250550611999998,1.4189385175704956,0.004578166827559471,4.635861653462053
540,2077440,309,22.002921042,1.4189385175704956,0.008062800377956592,4.639052894804626
560,2154240,314,20.622327335999998,1.4189385175704956,0.008152275154134258,6.714212334621697
580,2231040,318,21.91083106,1.4189385175704956,0.006021379407320638,6.302985955681652
600,2307840,322,22.834312741999998,1.4189385175704956,0.007137510692700744,8.606185585912318
620,2384640,327,21.9069608,1.4189385175704956,0.0060458225780166686,6.552250298857689
640,2461440,331,21.078699818,1.4189385175704956,0.010975712517392822,9.649250778835267
660,2538240,335,22.646251303999996,1.4189385175704956,0.005858058648300357,2.6926757824141534
680,2615040,338,23.544326598,1.4189385175704956,0.011694880948607534,7.448147561680526
700,2691840,342,23.458976722,1.4189385175704956,0.005019149106738041,2.7182369294576345
720,2768640,345,23.244369028,1.4189385175704956,0.00647453531564679,6.094045197591186
740,2845440,348,23.33466448,1.4189385175704956,0.0060538121520949065,7.403872266411781
760,2922240,351,22.461538168,1.4189385175704956,0.006145944842137397,9.298107939073816
780,2999040,354,22.624234978,1.4189385175704956,0.002263642452453496,6.817900814581662
800,3075840,356,23.950139005999997,1.4189385175704956,0.008022869467095007,6.231118861399591
820,3152640,359,23.929675351999997,1.4189385175704956,0.005729322801926173,6.058533878088928
840,3229440,361,23.365037279999996,1.4189385175704956,0.004828242378243886,3.1381392886396497
860,3306240,364,24.085865052000003,1.4189385175704956,0.004137883172370493,5.52257145687472
880,3383040,366,23.692540038,1.4189385175704956,0.005388718613539822,8.024424985749647
900,3459840,369,24.663320464,1.4189385175704956,0.00647695844527334,5.77661048383452
920,3536640,371,24.25001639,1.4189385175704956,0.004247137295169523,4.056343032699078
940,3613440,373,25.51918966,1.4189385175704956,0.0035404962707616507,2.021577432448976
960,3690240,376,24.536747503999997,1.4189385175704956,0.006512120758998208,10.382190719014034
980,3767040,378,24.241843978,1.4189385175704956,0.007959425111039309,5.782122793979942
1000,3843840,380,25.550857832000002,1.4189385175704956,0.000984454803619883,1.6997504080878572
1020,3920640,382,26.081592028,1.4189385175704956,0.005969867235398852,3.9957345681264997
1040,3997440,384,25.155484786000002,1.4189385175704956,0.005857797880889848,4.40124035757035
1060,4074240,386,24.366550536000002,1.4189385175704956,0.006474920010077767,4.226123678032309
1080,4151040,388,26.081231846,1.4189385175704956,0.004249614200671203,4.231503839744255
1100,4227840,390,25.556602941999998,1.4189385175704956,0.001014966053480748,5.220130862016231
1120,4304640,392,24.897750792,1.4189385175704956,0.0024194573354179736,2.337621380831115
1140,4381440,394,24.625686518000002,1.4189385175704956,0.005302710183605086,8.074294355511665
1160,4458240,395,25.08313435,1.4189385175704956,0.0038043581344936682,2.688576182490215
1180,4535040,397,25.5716758,1.4189385175704956,0.0017516213241833612,0.45876754524651914
1200,4611840,399,26.052633706,1.4189385175704956,0.005523281737987417,2.810036140889861
1220,4688640,400,26.129632666000003,1.4189385175704956,0.0009895938856061548,2.1029314609011633
1240,4765440,401,26.315910873999997,1.4189385175704956,0.005713234670474776,5.612722510611638
1260,4842240,403,24.218802194,1.4189385175704956,0.0028137846806203016,4.774398079747334
1280,4919040,404,24.893286747999998,1.4189385175704956,0.007221142295747995,5.199078207160346
1300,4995840,405,25.860230202,1.4189385175704956,0.003758332889083249,3.3293505392735825
1320,5072640,406,25.694247614,1.4189385175704956,0.005055174751032609,3.992978610517457
1340,5149440,407,25.390541752,1.4189385175704956,0.0049557970580735855,2.429956188099459
1360,5226240,409,26.142543992,1.4189385175704956,0.003950616170186549,4.702240042178891
1380,5303040,410,26.214569025999996,1.4189385175704956,0.003269182372605428,7.947993128397502
1400,5379840,411,24.589838114,1.4189385175704956,0.002897652858518995,4.4350848811678585
1420,5456640,412,26.396029018,1.4189385175704956,0.0007911051026894711,2.694987696071621
1440,5533440,413,25.683370779999997,1.4189385175704956,0.0014152008843666408,4.1604977555107325
1460,5610240,414,26.089378714,1.4189385175704956,0.006332262466457905,2.649057009862736
1480,5687040,415,26.333445754,1.4189385175704956,0.004327816636669013,4.292088717431762
1500,5763840,416,25.757605452000004,1.4189385175704956,0.0038277310200101056,4.079866550536826
1520,5840640,418,26.97683711,1.4189385175704956,0.004128194395889295,4.267934185336344
1540,5917440,419,26.11412991,1.4189385175704956,0.0036327516523670055,5.786087915464305
1560,5994240,420,25.014654268,1.4189385175704956,0.004221118988655803,4.806713190069422
1580,6071040,421,25.886462295999998,1.4189385175704956,0.0005834685172885657,3.6715478623867965
1600,6147840,422,25.446708043999998,1.4189385175704956,0.0010085768035423825,2.8558440711465662
1620,6224640,423,25.450760967999997,1.4189385175704956,0.003069873082495178,2.6175222645746543
1640,6301440,424,25.582293634000003,1.4189385175704956,0.002245486081301351,0.3343798673711717
1660,6378240,425,25.409981146,1.4189385175704956,0.003260607050742692,5.968428219831549
1680,6455040,426,25.651818768,1.4189385175704956,0.0038609774637734517,5.426844268501736
1700,6531840,427,26.102169946,1.4189385175704956,0.002665963065373944,5.642274096072652
1720,6608640,428,25.490736634,1.4189385175704956,0.0014535881724441423,6.1875095697352664
1740,6685440,428,26.195095008,1.4189385175704956,0.0010400667059002444,0.9079751142067835
1760,6762240,429,26.50401547,1.4189385175704956,0.001778759271837771,5.267565877200104
1780,6839040,430,26.613562932,1.4189385175704956,-8.539618356735445e-05,3.1694481786340476
1800,6915840,431,25.131913652,1.4189385175704956,0.0005196880323637742,7.636766184354201
1820,6992640,432,26.164014241999997,1.4189385175704956,0.002250204655865673,5.093917886854615
1840,7069440,433,26.036450204,1.4189385175704956,0.0005547313048737124,1.698600842244923
1860,7146240,433,26.820553226,1.4189385175704956,0.0007139927780372091,2.5892817826243117
1880,7223040,434,25.70667413,1.4189385175704956,0.0025874285041936674,5.466553027369082
1900,7299840,435,26.840954616,1.4189385175704956,0.0017827713967562887,2.6669243914890104
1920,7376640,435,26.406456338000005,1.4189385175704956,0.0007059451221721247,1.589255721704103
1940,7453440,436,26.273571324000002,1.4189385175704956,0.0018092275178787532,1.4116867067757994
1960,7530240,437,27.157029952000002,1.4189385175704956,0.0029853262603865005,3.4788316272199156
1980,7607040,437,27.609529038,1.4189385175704956,0.00035715059566427955,1.5550435211043805
2000,7683840,438,26.627849098,1.4189385175704956,-0.0011135309745441192,1.8741393972653895
2020,7760640,439,26.243586756,1.4189385175704956,0.0006599923646717798,4.7826440471224485
2040,7837440,439,26.408310196000002,1.4189385175704956,0.0029095233701809777,4.027750416635536
2060,7914240,440,25.985919064,1.4189385175704956,0.0008198605006327853,1.331082535837777
2080,7991040,440,26.433917836,1.4189385175704956,0.00013183480477891863,1.198837805003859
2100,8067840,441,25.650607962000002,1.4189385175704956,0.0030834423254418653,4.778397164330817
2120,8144640,442,25.402335666,1.4189385175704956,0.001768554112277343,0.5191630713408812
2140,8221440,442,27.733547513999998,1.4189385175704956,0.0032408957191364606,1.3701853931881487
2160,8298240,443,26.4747445,1.4189385175704956,0.0010011075908550992,2.867515609529801
2180,8375040,443,26.730772676,1.4189385175704956,0.002905174662009813,8.031802926049568
